thrU-tyrU-glyT-thrT-tufB
NC_000913,Escherichia_coli_str._K-12_substr._MG1655,<tufBB>
NC_003198,Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18,tufBB tyrU
NC_003197,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,<tufBB>
NC_003143,Yersinia_pestis_CO92,tufBB
NC_002663,Pasteurella_multocida_subsp._multocida_str._Pm70,tufBB thrT
NC_004459,Vibrio_vulnificus_CMCP6,tufBB
NC_011833,Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum),<tufBB>
NC_000907,Haemophilus_influenzae_Rd_KW20,<tufBB>
NC_004347,Shewanella_oneidensis_MR-1,tufBB
NC_005061,Candidatus_Blochmannia_floridanus,<tufBB>
NC_002516,Pseudomonas_aeruginosa_PAO1,<tufBB>
NC_002947,Pseudomonas_putida_KT2440,tufBB
NC_004578,Pseudomonas_syringae_pv._tomato_str._DC3000,tufBB
NC_003919,Xanthomonas_axonopodis_pv._citri_str._306,tufBB
NC_007086,Xanthomonas_campestris_pv._campestris_str._8004,<tufBB> thrT
NC_002488,Xylella_fastidiosa_9a5c,<tufBB>
NC_004757,Nitrosomonas_europaea_ATCC_19718,<tufBB>
NC_003295,Ralstonia_solanacearum_GMI1000,<tufBB>
NC_003112,Neisseria_meningitidis_MC58,tufBB
NC_002927,Bordetella_bronchiseptica_RB50,tufBB
NC_002929,Bordetella_pertussis_Tohama_I,tufBB
NC_002928,Bordetella_parapertussis_12822,tufBB
NC_004463,Bradyrhizobium_japonicum_USDA_110,<tufBB>
NC_002696,Caulobacter_crescentus_CB15,<tufBB>
NC_003062,Agrobacterium_tumefaciens_str._C58,<tufBB>
NC_003047,Sinorhizobium_meliloti_1021,tufBB
NC_012441,Brucella_melitensis_ATCC_23457,<tufBB>
NC_004310,Brucella_suis_1330,<tufBB>
