hycABCDEFGHI
NC_000913,Escherichia_coli_str._K-12_substr._MG1655,<hycIHGFEDCBA>
NC_004741,Shigella_flexneri_2a_str._2457T,hycFGH <hycFEDCBA> hycI
NC_003198,Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18,<hycIHGFEDCBA>
NC_003197,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,<hycIHGFEDCBA>
NC_003143,Yersinia_pestis_CO92,hycBB <hycCC> <hycFD> <hycEG>
NC_011833,Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum),hycGE hycDF hycB hycC
NC_004347,Shewanella_oneidensis_MR-1,<hycCC> <hycFD> <hycEG> hycB
NC_005061,Candidatus_Blochmannia_floridanus,<hycFD> <hycEG> <hycC>
NC_002516,Pseudomonas_aeruginosa_PAO1,hycGE hycDF hycCC <hycB>
NC_002947,Pseudomonas_putida_KT2440,hycGE hycDF hycCC hycB
NC_004578,Pseudomonas_syringae_pv._tomato_str._DC3000,hycGE hycDF hycCC
NC_003919,Xanthomonas_axonopodis_pv._citri_str._306,<hycCC> <hycFD> <hycE> <hycG>
NC_007086,Xanthomonas_campestris_pv._campestris_str._8004,hycDF hycCC hycE hycG
NC_002488,Xylella_fastidiosa_9a5c,hycDF hycCC hycE hycG
NC_004757,Nitrosomonas_europaea_ATCC_19718,<hycCC> <hycFD> <hycE> <hycG>
NC_005085,Chromobacterium_violaceum_ATCC_12472,hycGEE hycDF hycCC <hycB>
NC_003295,Ralstonia_solanacearum_GMI1000,<hycCC> <hycFD> <hycEEG> <hycB>
NC_003112,Neisseria_meningitidis_MC58,hycDF hycCC hycE hycG
NC_002927,Bordetella_bronchiseptica_RB50,<hycFD> <hycEEG> <hycB> <hycC>
NC_002929,Bordetella_pertussis_Tohama_I,hycGEE hycDF hycC
NC_002928,Bordetella_parapertussis_12822,<hycFD> <hycEEG> <hycB> <hycC>
NC_004463,Bradyrhizobium_japonicum_USDA_110,<hycFD> hycCEG <hycB>
NC_002696,Caulobacter_crescentus_CB15,<hycCC> <hycFD> <hycEEG>
NC_003062,Agrobacterium_tumefaciens_str._C58,hycGEE hycDF hycCC
NC_002678,Mesorhizobium_loti_MAFF303099,<hycCC> <hycFD> <hycEEG> <hycB>
NC_003047,Sinorhizobium_meliloti_1021,hycGEE hycDF hycCC
NC_012441,Brucella_melitensis_ATCC_23457,hycGEE hycDF hycCC
NC_004310,Brucella_suis_1330,hycGEE hycDF hycCC
NC_005090,Wolinella_succinogenes_DSM_1740,<hycIGFEC> <hycDCB>
NC_004917,Helicobacter_hepaticus_ATCC_51449,<hycCC> <hycFD> <hycEEG> hycI <hycB>
NC_002163,Campylobacter_jejuni_subsp._jejuni_NCTC_11168,<hycCC> <hycFD> <hycEEG> <hycB>
